epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,2.286813573074341,0.1666,0.09864013859946755,0.10941269301955454,0.16819383259911894,"[0.         0.68193833 0.         0.         0.         1.
 0.         0.         0.         0.        ]","[0.0, 0.6819383259911894, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0002161694768698652, 0.0, 0.0, 0.0, 0.9240129054129979, 0.0, 0.0, 0.0, 0.0]"
1,orchestrator,1.8024420991897583,0.4511,0.4039161034268604,0.5855102957121986,0.4431627322026114,"[0.75816327 0.90044053 0.93507752 0.         0.33299389 0.42040359
 0.27870564 0.00097276 0.03182752 0.77304262]","[0.7581632653061224, 0.9004405286343612, 0.935077519379845, 0.0, 0.3329938900203666, 0.4204035874439462, 0.2787056367432151, 0.0009727626459143969, 0.03182751540041068, 0.7730426164519326]","[0.00277865963171949, 0.004545104924225823, 0.37804288931752994, 0.0, 0.01058300410236854, 0.05389370620676472, 0.0, 0.0, 0.03026817574845115, 0.13859653539937208]"
2,orchestrator,1.1821954833984376,0.6368,0.6084513884293726,0.6756027177520416,0.6330527178606236,"[0.87755102 0.92863436 0.82945736 0.34851485 0.92668024 0.60313901
 0.89979123 0.66731518 0.04825462 0.2011893 ]","[0.8775510204081632, 0.9286343612334802, 0.8294573643410853, 0.3485148514851485, 0.9266802443991854, 0.6031390134529149, 0.8997912317327766, 0.6673151750972762, 0.048254620123203286, 0.20118929633300298]","[0.01636095890736333, 0.005884856406386708, 0.17906092517519484, 0.00012456402590931774, 0.08887228496028331, 0.04751479399385103, 0.016195369165354183, 0.002485184517865526, 0.011374042790847092, 0.039846222434029514]"
3,orchestrator,0.8977645023822785,0.727,0.7019168264718985,0.7315133013723875,0.720475483785076,"[0.85714286 0.92687225 0.76841085 0.87425743 0.57535642 0.54147982
 0.90709812 0.85019455 0.03080082 0.87314172]","[0.8571428571428572, 0.9268722466960353, 0.7684108527131783, 0.8742574257425743, 0.575356415478615, 0.5414798206278028, 0.907098121085595, 0.8501945525291829, 0.03080082135523614, 0.8731417244796829]","[0.006278985568329115, 0.0032236901351714933, 0.13653755918953453, 0.038595790312664524, 0.006517152186262883, 0.02584851137303796, 0.013162931478781103, 0.010565756179265782, 0.008103604466820182, 0.06174881490449242]"
4,orchestrator,0.811403707909584,0.7625,0.7374129611144207,0.7503211303588125,0.7573931688638533,"[0.89591837 0.93215859 0.84786822 0.81089109 0.83808554 0.64686099
 0.90709812 0.86381323 0.02053388 0.81070367]","[0.8959183673469387, 0.93215859030837, 0.8478682170542635, 0.810891089108911, 0.8380855397148674, 0.6468609865470852, 0.907098121085595, 0.8638132295719845, 0.020533880903490762, 0.8107036669970268]","[0.010922658894606875, 0.002893862475265833, 0.1375298667587638, 0.010392526891294442, 0.014294558171882805, 0.031107882084908937, 0.012778699300862593, 0.012183716992485253, 0.007323000617080667, 0.030136373519678475]"
5,orchestrator,0.7678093401908874,0.7687,0.7478306027266548,0.7603817186914837,0.7640203780081514,"[0.87653061 0.93303965 0.85368217 0.82772277 0.87678208 0.68273543
 0.89665971 0.84046693 0.03593429 0.81665015]","[0.8765306122448979, 0.9330396475770925, 0.8536821705426356, 0.8277227722772277, 0.8767820773930755, 0.6827354260089686, 0.8966597077244259, 0.8404669260700389, 0.03593429158110883, 0.8166501486620417]","[0.005059355364815154, 0.002447633511585797, 0.13218447379751364, 0.010929487887056659, 0.014033426303154557, 0.03896219286185016, 0.007774055182066987, 0.008039665478148557, 0.01391378070790287, 0.02885550889684861]"
6,orchestrator,0.752644557595253,0.7661,0.7508233095010415,0.7673860751070604,0.7618603720235182,"[0.87959184 0.93744493 0.83914729 0.77326733 0.84317719 0.71300448
 0.89665971 0.81420233 0.0687885  0.85332012]","[0.8795918367346939, 0.9374449339207049, 0.8391472868217055, 0.7732673267326733, 0.8431771894093687, 0.7130044843049327, 0.8966597077244259, 0.8142023346303502, 0.06878850102669404, 0.8533201189296333]","[0.004841699566490832, 0.002109489286340706, 0.12467270532998675, 0.006861999364082224, 0.010509166383384358, 0.0436907374086842, 0.007461544675825136, 0.00616101462921528, 0.022061582197318186, 0.03622964779920763]"
7,orchestrator,0.7425337872028351,0.7615,0.7443471534203009,0.7701651570466661,0.7579841363196443,"[0.86734694 0.93920705 0.85949612 0.71287129 0.84521385 0.78587444
 0.88204593 0.77626459 0.04928131 0.86223984]","[0.8673469387755103, 0.9392070484581497, 0.8594961240310077, 0.7128712871287128, 0.845213849287169, 0.7858744394618834, 0.8820459290187892, 0.7762645914396887, 0.04928131416837783, 0.8622398414271556]","[0.0033102664468678514, 0.0018941576756602574, 0.1267167132418287, 0.0032425332787881086, 0.010076583892294662, 0.05959491577948902, 0.005221349627268625, 0.004467759521922268, 0.014972609553910946, 0.03940962618236458]"
8,orchestrator,0.7379768782615662,0.7528,0.7379766745387332,0.7660804507830201,0.7494739887840272,"[0.85408163 0.93656388 0.86337209 0.66534653 0.87169043 0.78811659
 0.8736952  0.7577821  0.05852156 0.82556987]","[0.8540816326530613, 0.9365638766519824, 0.8633720930232558, 0.6653465346534654, 0.8716904276985744, 0.7881165919282511, 0.8736951983298537, 0.7577821011673151, 0.05852156057494868, 0.8255698711595639]","[0.0025797805119810446, 0.001566251808652824, 0.12496532107436102, 0.0023874833179919897, 0.014153614310672266, 0.06756177163408794, 0.004322457255792994, 0.003224872562194639, 0.01981096288970837, 0.03778971931897114]"
9,orchestrator,0.7457268463730812,0.7536,0.7421315670923636,0.7714476901819067,0.7499885888476839,"[0.88061224 0.94449339 0.85368217 0.67326733 0.80855397 0.77690583
 0.86221294 0.75680934 0.08110883 0.86223984]","[0.8806122448979592, 0.9444933920704847, 0.8536821705426356, 0.6732673267326733, 0.8085539714867618, 0.7769058295964126, 0.8622129436325678, 0.7568093385214008, 0.08110882956878851, 0.8622398414271556]","[0.004032170726525002, 0.0020018234810004814, 0.12494387819367336, 0.002667953585455426, 0.007657746185693, 0.06172168455139049, 0.0038634700549289303, 0.002990188505451716, 0.025160951334176396, 0.04275059021761185]"
